,Title,Categories,Status,Views,Comments,Follows,Introduction,Last Update,Latest Chapter
0,Takasugisan no Chibi Yan Hero,"Comedy, Manga, Romance, School Life, Slice of Life",Đang tiến hành,386586,122,2911,"Câu chuyện tình ngọt ngào của cặp đôi đũa lệch m8 - m4, liệu tình yêu có thể thu ngắn khoảng cách hai trái tim?!",08/09//2021,Chapter 174
1,E? Heibon Desu Yo??,"Comedy, Fantasy, Seinen, Slice of Life, Supernatural",Hoàn thành,192322,140,2799,"Yukari là một bb cấp ba, rồi cô chết trong một vụ tai nạn giao thông, nhưng khi tỉnh dậy, cô đã được tái sinh thành con loli của một bá tước ở một thế giới khác! Nhưng kỳ lạ thay, điều đang chờ đợi cô là một cuộc sống nghèo khổ, vì vậy cô quyết định tận dụng kiến ​​thức từ kiếp trước của mình để lập harem ở thế giới mới.",08/09//2021,Chapter 18
2,Tonimo Kakunimo,"Comedy, Manga, Romance, Slice of Life",Đang tiến hành,120170,133,3138,"Yamato Ashiwara đã trở về thành phố nơi cậu sống cùng gia đình 10 năm trước, nhưng giờ thì cậu sống cô đơn. Cậu đến thăm một ngôi đền và được gặp một cô gái khiến cậu nhớ lại thời thơ ấu của mình và đó là sự khởi đầu của một bộ romcom pha chút drama",08/09//2021,Chapter 6
3,Unfamiliar,"Adventure, Comedy, Comic, Fantasy, Slice of Life",Đang tiến hành,4875,14,213,"Cô phù thủy nhỏ Planchette đã quá chán nản với cuộc sống ở ngoại ô, vậy nên ngay khi nhìn thấy một căn nhà được bán với giá hời trong thị trấn, Planchette liền hí hửng mua luôn! Vấn đề duy nhất là gì? Căn nhà ấy đầy ma! Với sự trợ giúp của một nhân ngư nhút nhát, một cô gái bị nguyền rủa và một nàng phù thủy bồ câu, liệu Planchette có thể tống khứ được lũ ma ra khỏi căn nhà mới của mình?
Truyện đã được sự cho phép của tác giả vui lòng không đem đi nơi khác dưới bất kỳ hình thức nào.",08/09//2021,Chapter 4
4,Đơn Phương Yêu Thầm Anh,"Đam Mỹ, Manhua, Truyện Màu",Hoàn thành,1575100,411,5103,"Ca sĩ quán bar yêu mị phong tình trong ngực hắn, chính là thiếu niên mang kính năm đó đã thầm yêu hắn nhiều năm nhưng không có kết quả. Vốn định sẽ không gặp lại nữa, nhưng ngày hôm sau lại trở thành thiếp thân thư ký của hắn ! ? Nhận hết đủ mọi lăng nhục……. Kiều nam hai mặt che giấu thân phận, là vì trốn tránh tình cũ, hay là còn có ẩn tình khác ?",07/09//2021,Chapter 81
5,She hates me,"Comedy, Romance, Shoujo, Truyện Màu",Đang tiến hành,49256,30,996,Chuyện về một thanh niên rất ư là thụ động và một cô gái cố chấp.........,07/09//2021,Chapter 11
6,Tensei Inja wa Hokusoemu,"Action, Adventure, Ecchi, Fantasy, Harem, Manga, Romance",Đang tiến hành,147730,145,6416,"Một ngày nọ, có một thanh niên ngủ dậy thấy mất cái trần nhà :V mà thấy một cái trần nhà khác.Nhận ra đó là trần nhà trong game VRMMORPG của thanh niên, sau khi mở chỉ số để xem thì nhận ra đây là chỉ số của một game VRMMORPG khác :V. Đón xem hành trình tiếp theo của P* thủ...",07/09//2021,Chapter 6
7,Người Trở Về Từ Cõi Chết,"Action, Chuyển Sinh, Manhwa, Truyện Màu",Đang tiến hành,1986645,776,10737,"“Này, đừng nhầm lẫn. Tôi chưa bao giờ coi bạn là em trai của tôi. Bạn thậm chí còn không biết đúng chỗ của mình ”.Đó là con dao găm làm tổn thương nhiều nhất.Han Myoung Woo.Là con một gia đình giàu có, có đầu óc nhanh nhạy.Nhưng ông trời không cho anh tất cả.Một căn bệnh tim di truyền gần như không thể chữa khỏiAnh ấy đã cố gắng hết sức để có được sự tôn trọng của những người xung quanh.Nhưng cha anh, chủ tịch và các thành viên trong gia đình anh không bao giờ coi trọng anh.
Đó là khi một tai nạn bất ngờ ập đến với anh.Và…Anh ấy tỉnh dậy trong cơ thể của một học sinh bị thương nặng, Kim Cheol Min.",07/09//2021,Chapter 73
8,Kuro Gyaru-san ga Kuru!,"Comedy, Ecchi, Manga, Romance, School Life",Đang tiến hành,36412,72,1794,Một thanh niên chỉ biết cắm đầu vào làm việc vô tình gặp một cô bé gyaru. và họ bắt đầu những bước trở thành một cặp đôi,07/09//2021,Chapter 3
9,"Danjo No Yuujou Wa Seiritsu Suru (iya, Shinai!!)","Comedy, Drama, Harem, Manga, Romance, School Life",Đang tiến hành,7152,56,1245,"Hai người bạn thân đã từng thề làm bạn thân mãi mãi——bỗng chốc “cả hai lại yêu đơn phương”!?
Tại ngôi trường sơ trung của một vùng nông thôn, có một đôi nam nữ đã thề với nhau sẽ làm bạn mãi mãi. Cùng nhau hướng về một giấc mơ nhưng mối quan hệ của hai người——không hề có tiến triển gì mặc dù đã qua hai năm……!!
Inudzuka Himari • một cô gái năng động, vẫn chưa có tình đầu, và Natsume Yuu • một chàng trai yêu hoa, vẫn chẳng có gì thay đổi dù đã lên năm hai cao trung, và là bạn thân bình thường ở trong câu lạc bộ chăm sóc cây cảnh chỉ có hai người.
「Nếu Yuu không thể kết hôn, thì mình sẽ chịu trách nhiệm—」 「Mặc dù Himari nói vậy, nhưng thật khó cho anh trai cậu khi phải gọi mình là『Em rể!』」
Tuy nhiên, khi Yuu gặp lại tình đầu trong quá khứ của mình, mối quan hệ của hai đột nhiên bị đảo loạn!? Liệu Himari, một người đã biết yêu, có vất bỏ「người bạn lý tưởng」của mình không?",07/09//2021,Chapter 1
10,Risou No Kareshi No Hazunanoni,"Manga, Romance, School Life, Shoujo",Đang tiến hành,6708,28,1082,"Sau khi trở thành một học sinh trung học, Chiori bắt đầu ghen tị với việc các bạn cùng trang lứa của mình bắt đầu có người yêu. ""Có một người yêu dường như rất nhiều niềm vui."" ""Tôi cũng ước mình có thể kiếm được một người bạn trai."" ""Tại sao không có ai tỏ tình với mình?"" Khi cô ấy than phiền với Issei, người bạn thời thơ ấu của cô ấy, anh ấy đột nhiên quay lại và nói, ""Nếu vậy thì hãy hẹn hò với mình đi."" Liệu đây có thể là sự khởi đầu của một mối quan hệ đẹp như mơ !?",07/09//2021,Chapter 1
11,Nhất Phẩm Cao Thủ,"Action, Drama, Harem, Manhua, Martial Arts, NetTruyen, Supernatural, Truyện Màu",Hoàn thành,5662099,1366,21467,"Không có bản lãnh khác, chỉ có một thân võ công, cổ võ cao thủ Đoạn Vân trở lại đô thị, từ nay về sau trở thành nhà giàu, chân đá lưu manh đấu ác thiếu, chanh chua cay cú nữ cảnh sát, lạnh lẽo cô quạnh ngự tỷ nữ tổng tài nhao nhao yêu thương nhung nhớ...",06/09//2021,Chapter 96
